FILE_ID,EXTRA,ENGINE,STATUS,CHECKSUM,DATA_FREE,FILE_NAME,FILE_TYPE,VERSION,CHECK_TIME,ROW_FORMAT,TABLE_NAME,TABLE_ROWS,CREATE_TIME,DATA_LENGTH,EXTENT_SIZE,UPDATE_TIME,DELETED_ROWS,FREE_EXTENTS,INDEX_LENGTH,INITIAL_SIZE,MAXIMUM_SIZE,RECOVER_TIME,TABLE_SCHEMA,UPDATE_COUNT,CREATION_TIME,FULLTEXT_KEYS,TABLE_CATALOG,TOTAL_EXTENTS,AVG_ROW_LENGTH,AUTOEXTEND_SIZE,MAX_DATA_LENGTH,TABLESPACE_NAME,LAST_ACCESS_TIME,LAST_UPDATE_TIME,LOGFILE_GROUP_NAME,TRANSACTION_COUNTER,LOGFILE_GROUP_NUMBER
82,<blank>,NORMAL,<blank>,InnoDB,TABLESPACE,<blank>,<blank>,<blank>,1048576,<blank>,<blank>,<blank>,0,9,innodb_system,<blank>,85983232,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,./ibdata1,<blank>,<blank>,<blank>,70254592,67108864,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
0,<blank>,NORMAL,<blank>,InnoDB,TABLESPACE,<blank>,<blank>,<blank>,1048576,<blank>,<blank>,<blank>,622,0,innodb_file_per_table_622,<blank>,0,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,./21co3/TABLE@002010.ibd,<blank>,<blank>,<blank>,0,1048576,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
0,<blank>,NORMAL,<blank>,InnoDB,TABLESPACE,<blank>,<blank>,<blank>,1048576,<blank>,<blank>,<blank>,615,0,innodb_file_per_table_615,<blank>,0,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,./21codb/guide1.ibd,<blank>,<blank>,<blank>,0,1048576,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
0,<blank>,NORMAL,<blank>,InnoDB,TABLESPACE,<blank>,<blank>,<blank>,1048576,<blank>,<blank>,<blank>,618,0,innodb_file_per_table_618,<blank>,0,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,./21codb/hippa1.ibd,<blank>,<blank>,<blank>,0,1048576,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
0,<blank>,NORMAL,<blank>,InnoDB,TABLESPACE,<blank>,<blank>,<blank>,1048576,<blank>,<blank>,<blank>,649,0,innodb_file_per_table_649,<blank>,0,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,./21cosra/21temp.ibd,<blank>,<blank>,<blank>,0,1048576,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
0,<blank>,NORMAL,<blank>,InnoDB,TABLESPACE,<blank>,<blank>,<blank>,1048576,<blank>,<blank>,<blank>,632,0,innodb_file_per_table_632,<blank>,0,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,./21cosra/TABLE@002010.ibd,<blank>,<blank>,<blank>,0,1048576,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
0,<blank>,NORMAL,<blank>,InnoDB,TABLESPACE,<blank>,<blank>,<blank>,1048576,<blank>,<blank>,<blank>,652,0,innodb_file_per_table_652,<blank>,0,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,./21cosra/tempt.ibd,<blank>,<blank>,<blank>,0,1048576,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
0,<blank>,NORMAL,<blank>,InnoDB,TABLESPACE,<blank>,<blank>,<blank>,1048576,<blank>,<blank>,<blank>,633,0,innodb_file_per_table_633,<blank>,0,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,./21cosra/xconcern.ibd,<blank>,<blank>,<blank>,0,1048576,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
0,<blank>,NORMAL,<blank>,InnoDB,TABLESPACE,<blank>,<blank>,<blank>,1048576,<blank>,<blank>,<blank>,1225,0,innodb_file_per_table_1225,<blank>,0,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,./a_zcomp_com_1/jos_blog_myaccount.ibd,<blank>,<blank>,<blank>,0,1048576,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
0,<blank>,NORMAL,<blank>,InnoDB,TABLESPACE,<blank>,<blank>,<blank>,1048576,<blank>,<blank>,<blank>,1200,0,innodb_file_per_table_1200,<blank>,0,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,./a_zcomp_com_7/wp_x8adse_actionscheduler_claims.ibd,<blank>,<blank>,<blank>,0,1048576,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
